featured,show-hide,url-evergreen,year-display,project-name_FULL,project-name,project-slug,project-addon,grant-id,organizations,full-description,short-statement,keywords,amount,amount-numeric,date-authorized,count,photo,website,superprogram,program,type,funding-round,first-letter,lookup,lookup2,wordpress-id,grouping,notes
FALSE,show,/projects/m/#magic-penny-garden,2002,Magic Penny Garden,Magic Penny Garden,magic-penny-garden,"$5,250 » STUDIO for Creative Inquiry, 2002 Seed Award project support",0054-SEED,STUDIO for Creative Inquiry,"Magic Penny Garden, a project of STUDIO for Creative Inquiry, was the inaugural installation of the ArtGardens program. Located in Frank Curto Park on Bigelow Boulevard, the garden was comprised entirely of plants contributed by the community and was arranged and cultivated by area artists.",,"plants, artists, installations, studios, penny, magic, bigelow boulevard, frank curto park","$5,250",5250,3/6/2002,1,,,Community,Seed Award,project support,5,m,Community_2002_Seed Award,Community_Seed Award_show,6177,,
FALSE,show,/projects/p/#places-of-pittsburgh,2002,Places of Pittsburgh,Places of Pittsburgh,places-of-pittsburgh,"$10,000 » faces of pittsburgh, 2002 Seed Award project support",0051-SEED,faces of pittsburgh,"Places of Pittsburgh, a project of Faces of Pittsburgh, was the first installment of a comprehensive photo essay to document all 88 Pittsburgh neighborhoods. The installment included photography of Lawrenceville and the Hill District and added context and depth to the portraits in the Faces of Pittsburgh archive.",,"portraits, archives, faces, essays, installment, neighborhoods, contexts, photos","$10,000",10000,3/6/2002,1,,,Community,Seed Award,project support,5,p,Community_2002_Seed Award,Community_Seed Award_show,6178,,
FALSE,show,/projects/a/#art-all-night,2002,Art All Night,Art All Night,art-all-night,"$3,800, 2002 Seed Award project support",0058-SEED,,"Art All Night was an innovative, grassroots celebration of the visual arts and the potential of the Lawrenceville neighborhood. Over 4,000 visitors occupied the Chocolate Factory in Lawrenceville for the overnight art extravaganza.",,"visitors, arts, neighborhoods, celebrations, extravaganza, grassroots, lawrenceville, nights, potential","$3,800",3800,4/4/2002,1,,,Community,Seed Award,project support,6,a,Community_2002_Seed Award,Community_Seed Award_show,6180,,
FALSE,show,/projects/p/#pittsburgh-music-documentary,2002,Pittsburgh Music Documentary,Pittsburgh Music Documentary,pittsburgh-music-documentary,"$7,350 » Pittsburgh Music Documentary, 2002 Seed Award project support",0056-SEED,Pittsburgh Music Documentary,"Pittsburgh Music Documentary, a project of Pittsburgh Music Documentary, was a documentary film exploring the history and condition of the city’s music scene. The film spanned all musical genres and followed some of Pittsburgh’s most exciting and acclaimed artists, events, and organizations.",,"genres, artists, organizations, conditions, documentary film, music scene","$7,350",7350,4/4/2002,1,,,Community,Seed Award,project support,6,p,Community_2002_Seed Award,Community_Seed Award_show,6179,,
FALSE,show,/projects/b/#black-forum-exhibition,2002,Black Forum Exhibition,Black Forum Exhibition,black-forum-exhibition,"$5,000 » Barrett Black, 2002 Seed Award project support",0078-SEED,Barrett Black,"Black Forum Exhibition was a self-propelled collective of artists and performers that produced original art and music for the communities of East Liberty, Friendship, and Garfield.",,"exhibitions, performers, art, forums, garfield, friendship, communities, east liberty","$5,000",5000,5/8/2002,1,,,Community,Seed Award,project support,7,b,Community_2002_Seed Award,Community_Seed Award_show,6184,,
FALSE,show,/projects/f/#fairies-mortals-magic-a-midsummer-celebration,2002,"Fairies, Mortals, & Magic: A Midsummer Celebration","Fairies, Mortals, & Magic: A Midsummer Celebration",fairies-mortals-magic-a-midsummer-celebration,"$5,000 » Avalon Productions, 2002 Seed Award project support",0080-SEED,Avalon Productions,"Fairies, Mortals, & Magic: A Midsummer Celebration, a project of Avalon Productions, reacquainted the public with the themes and rituals surrounding the celebration of midsummer solstice. The performances brought together a diverse, multicultural group of artisans, healing arts professionals, spiritual groups, businesses, and families to engage in a ritual of seasonal rejoicing.",,"rituals, celebrations, mortals, solstice, healing, fairies, rejoicing, magic","$5,000",5000,5/8/2002,1,,,Community,Seed Award,project support,7,f,Community_2002_Seed Award,Community_Seed Award_show,6182,,
FALSE,show,/projects/h/#happenings-20,2002,Happenings 2.0,Happenings 2.0,happenings-20,"$10,000 » Ground Zero, 2002 Seed Award project support",0079-SEED,Ground Zero,"Happenings 2.0, a project of Ground Zero, was a local event information clearinghouse. The project offered Pittsburgh’s young, urban population a point of reference for a variety of events around town.",,"ground zero, clearinghouse, variety, reference","$10,000",10000,5/8/2002,1,,,Community,Seed Award,project support,7,h,Community_2002_Seed Award,Community_Seed Award_show,6181,,
FALSE,show,/projects/m/#map-nights,2002,MAP Nights,MAP Nights,map-nights,"$3,100, 2002 Seed Award project support",0076-SEED,,MAP Nights introduced the public to a variety of music venues in Pittsburgh and provided networking opportunities between musicians and the industry. The events stimulated appreciation for music in Pittsburgh and promoted the city’s musical heritage.,,"musicians, appreciation, opportunities, nights, networking, industry, heritage, variety","$3,100",3100,5/8/2002,1,,,Community,Seed Award,project support,7,m,Community_2002_Seed Award,Community_Seed Award_show,6185,,
TRUE,show,/projects/highlights/community/#new-yinzer,2002,The New Yinzer,The New Yinzer,new-yinzer,"$8,750, 2002 Seed Award project support",0075-SEED,,"The New Yinzer was an online magazine that provided an outlet for local and national writers to publish experimental nonfiction and fiction, work that had been largely overlooked by mainstream publishing companies.","Creating an outlet for local and national writers to publish experimental nonfiction and fiction, work largely overlooked by mainstream publishing companies.","publishing, fiction, magazines, writers, mainstream, online, outlets, companies","$8,750",8750,5/8/2002,1,/photos/projects/new-yinzer.jpg,,Community,Seed Award,project support,7,n,Community_2002_Seed Award,Community_Seed Award_show,6183,,Year Feature
FALSE,show,/projects/a/#arts-education-program-for-young-adults,2002,Arts Education Program for Young Adults,Arts Education Program for Young Adults,arts-education-program-for-young-adults,"$3,800 » Brew House Association, 2002 Seed Award project support",0096-SEED,Brew House Association,"Arts Education Program for Young Adults, a project of Brew House Association, was a community initiative designed to present and support young artists in Pittsburgh and to foster an appreciation for the arts in the community at large. A result of the Brew House Association’s commitment to artistic enrichment in Pittsburgh, the program offered public classes and special projects and created opportunities for young artists.",,"opportunities, enrichment, appreciation, artists, foster, classes, commitments, initiatives","$3,800",3800,6/6/2002,1,,,Community,Seed Award,project support,8,a,Community_2002_Seed Award,Community_Seed Award_show,6189,,
FALSE,show,/projects/c/#confronting-racism-and-oppression-in-the-era-of-aids,2002,Confronting Racism and Oppression in the Era of AIDS,Confronting Racism and Oppression in the Era of AIDS,confronting-racism-and-oppression-in-the-era-of-aids,"$7,000 » Partnership for Minority HIV/AIDS Prevention, 2002 Seed Award project support",0094-SEED,Partnership for Minority HIV/AIDS Prevention,"Confronting Racism and Oppression in the Era of Aids, a project of Partnership for Minority HIV/AIDS Prevention in collaboration with the Andy Warhol Museum, presented performance art and film as vehicles to engage community members in dialogue about the impact of HIV/AIDS on people of African descent.",,"aids, oppression, racism, collaborations, dialogues, minority, descent, impacts, partnerships","$7,000",7000,6/6/2002,1,,,Community,Seed Award,project support,8,c,Community_2002_Seed Award,Community_Seed Award_show,6190,,
FALSE,show,/projects/c/#cyber-lounge-at-wilkinsburg,2002,Cyber Lounge at Wilkinsburg,Cyber Lounge at Wilkinsburg,cyber-lounge-at-wilkinsburg,"$10,000 » Wilkinsburg Intra-Community Network, 2002 Seed Award project support",0092-SEED,Wilkinsburg Intra-Community Network,"Cyber Lounge at Wilkinsburg, a project of Wilkinsburg Intra-Community Network, provided a space for area residents of all ages to come together, learn about new technology and use the Internet to check personal email. The lounge also provided a space for concerts, art exhibitions, and other community activities.",,"internet, lounge, cyber, check, technology, activities, ages, network","$10,000",10000,6/6/2002,1,,,Community,Seed Award,project support,8,c,Community_2002_Seed Award,Community_Seed Award_show,6188,,
FALSE,show,/projects/m/#meet-here-com,2002,Meet-here.com,Meet-here.com,meet-here-com,"$5,000 » no wall productions, 2002 Seed Award project support",0090-SEED,no wall productions,"Meet-here.com, a project of no wall productions, provided a 1,100 square-foot space for occasional use by area nonprofits, community groups, startups, and small businesses. Located in downtown Pittsburgh, the furnished space served as a flexible, wired community resource.",,"businesses, resources, startups, com, walls, nonprofits, productions","$5,000",5000,6/6/2002,1,,,Community,Seed Award,project support,8,m,Community_2002_Seed Award,Community_Seed Award_show,6187,,
FALSE,show,/projects/s/#summer-concert-series,2002,Summer Concert Series,Summer Concert Series,summer-concert-series,"$3,300 » The Union Project, 2002 Seed Award project support",0099-SEED,The Union Project,"Summer Concert Series, a project of The Union Project, provided a meeting ground for artists, community builders and people of faith in the East End through its inaugural Summer Concert Series. The events united the community through music, food, and fellowship.",,"east end, united, faith, builders, artists, meetings, unions, grounds","$3,300",3300,6/6/2002,1,,,Community,Seed Award,project support,8,s,Community_2002_Seed Award,Community_Seed Award_show,6186,,
TRUE,show,/projects/highlights/community/#dragon-boat-racing,2002,Dragon Boat Racing,Dragon Boat Racing,dragon-boat-racing,"$10,000 » Three Rivers Rowing Association, 2002 Seed Award project support",0106-SEED,Three Rivers Rowing Association,"Dragon Boat Racing, a project of the Three Rivers Rowing Association, brought a 3,000-year-old Chinese rowing tradition to Pittsburgh. The program strengthened the bridge between Pittsburgh and its sister city, Wuhan, China by providing an opportunity for participants to enjoy Pittsburgh’s rivers while encouraging competition, fitness, and camaraderie.","Encouraging locals to enjoy the rivers through the competition, fitness, and camaraderie of this 3,000-year-old Chinese rowing tradition.","fitness, rivers, participants, opportunity, boat, wuhan, camaraderie, associations","$10,000",10000,7/11/2002,1,/photos/projects/dragon-boat-racing.jpg,,Community,Seed Award,project support,9,d,Community_2002_Seed Award,Community_Seed Award_show,6192,,Year AND Program Feature
FALSE,show,/projects/h/#homestead-sidewalk-arts-project,2002,Homestead Sidewalk Arts Project,Homestead Sidewalk Arts Project,homestead-sidewalk-arts-project,"$1,850 » Steel Valley Arts Council, 2002 Seed Award project support",0101-SEED,Steel Valley Arts Council,"Homestead Sidewalk Arts Project, a project of Steel Valley Arts Council, provided an alternative to The Waterfront development for the economically handicapped Homestead neighborhood by encouraging foot traffic through Homestead’s business district.",,"homestead, sidewalks, neighborhoods, traffic, arts, steel, valley, foot","$1,850",1850,7/11/2002,1,,,Community,Seed Award,project support,9,h,Community_2002_Seed Award,Community_Seed Award_show,6194,,
FALSE,show,/projects/n/#new-pittsburgh-collaborative,2002,New Pittsburgh Collaborative,New Pittsburgh Collaborative,new-pittsburgh-collaborative,"$7,000 » Leadership Pittsburgh, 2002 Seed Award project support",0108-SEED,Leadership Pittsburgh,"New Pittsburgh Collaborative, a project of Leadership Pittsburgh, joined together a variety of local groups serving individuals under 40. Sharing a vision of Pittsburgh as a diverse and vibrant community, these organizations used the New Pittsburgh Collaborative to unite their voices, cohesively and powerfully, and to enact change.",,"sharing, leadership, individuals, visions, voices, variety","$7,000",7000,7/11/2002,1,,,Community,Seed Award,project support,9,n,Community_2002_Seed Award,Community_Seed Award_show,6191,,
FALSE,show,/projects/p/#public-service-announcements,2002,Public Service Announcements,Public Service Announcements,public-service-announcements,"$4,000 » Chris Ivey, 2002 Seed Award project support",0105-SEED,Chris Ivey,"Public Service Announcements, a project of Pittsburgh film and video director Chris Ivey, developed two nontraditional public service announcements to promote independent artists from the area. The pieces exposed the unique, sometimes quiet, artistic treasures in Pittsburgh.",,"artists, treasures, pieces, videos, directors, chris, ivey","$4,000",4000,7/11/2002,1,,,Community,Seed Award,project support,9,p,Community_2002_Seed Award,Community_Seed Award_show,6193,,
FALSE,show,/projects/b/#bridgespotters-installment-i,2002,Bridgespotters Installment I,Bridgespotters Installment I,bridgespotters-installment-i,"$8,250 » BridgeSpotters Corp., 2002 Seed Award project support",0119-SEED,BridgeSpotters Corp.,"Bridgespotters Installment I, a project of BridgeSpotters Corp., was an audio compilation of Bridgespotters’ poetry, theater, and music-both live and studio produced. The CD also included the art collective’s images and photography.",,"studios, photography, art, audio, images, theater, installment, poetry","$8,250",8250,9/5/2002,1,,,Community,Seed Award,project support,10,b,Community_2002_Seed Award,Community_Seed Award_show,6199,,
FALSE,show,/projects/g/#green-mannequin-productions,2002,Green Mannequin Productions,Green Mannequin Productions,green-mannequin-productions,"$5,060 » Green Mannequin Productions, 2002 Seed Award project support",0126-SEED,Green Mannequin Productions,"Green Mannequin Productions, a project of Green Mannequin Productions, expanded the American roots focus of Back Porch Ballroom Series to include other genres, like independent rock.",,"ballroom, porch, rocks, green, productions, mannequin, roots, focus","$5,060",5060,9/5/2002,1,,,Community,Seed Award,project support,10,g,Community_2002_Seed Award,Community_Seed Award_show,6196,,
FALSE,show,/projects/m/#mini-m,2002,Mini M,Mini M,mini-m,"$3,140, 2002 Seed Award project support",0133-SEED,,"Mini M was a series of mini music festivals spanning a variety of genres. The concert series featured local bands including Ouve Ozzy Runk, Soma Mestizo, Allison Wonderland, Phat Man Dee, and the Ultraviolet Trio.",,"bands, genres, festivals, mini, wonderland, dee, soma, mestizo, allison","$3,140",3140,9/5/2002,1,,,Community,Seed Award,project support,10,m,Community_2002_Seed Award,Community_Seed Award_show,6195,,
FALSE,show,/projects/p/#phase-i-initiative-for-marketing-key-amenities,2002,Phase I Initiative for Marketing Key Amenities,Phase I Initiative for Marketing Key Amenities,phase-i-initiative-for-marketing-key-amenities,"$5,050 » Jackson/Clark Partners, 2002 Seed Award project support",0124-SEED,Jackson/Clark Partners,"Phase I Initiative for Marketing Key Amenities, a project of Jackson/Clark Partners, developed a comprehensive, online system to make information about Pittsburgh’s key amenities searchable and easily accessible to young web users.",,"users, web, online, marketing, partners, initiatives, key","$5,050",5050,9/5/2002,1,,,Community,Seed Award,project support,10,p,Community_2002_Seed Award,Community_Seed Award_show,6197,,
FALSE,show,/projects/s/#star-soap-public-art-project,2002,Star Soap Public Art Project,Star Soap Public Art Project,star-soap-public-art-project,"$1,450, 2002 Seed Award project support",0123-SEED,,"Star Soap Public Art Project renewed the landscape of the Penn Avenue Arts Initiative corridor by repainting an advertisement, circa 1920, for Star Soap. The project beautified the neighborhood by uncovering, yet maintaining, a piece of its history in a colorful, attractive way.",,"corridor, soap, neighborhoods, landscapes, circa, repainting, advertisements, star","$1,450",1450,9/5/2002,1,,,Community,Seed Award,project support,10,s,Community_2002_Seed Award,Community_Seed Award_show,6198,,
FALSE,show,/projects/a/#art-votes,2002,Art Votes,Art Votes,art-votes,"$1,750 » Art Votes, 2002 Seed Award project support",0141-SEED,Art Votes,"Art Votes, a project of Art Votes, was a grassroots effort to educate local artists about the impact that political issues could have on their work, and vice versa. The event positioned artists outside of polling centers in order to call public attention to political awareness among artists.",,"polling, grassroots, artists, awareness, art, vice, centers, issues, attention","$1,750",1750,9/23/2002,1,,,Community,Seed Award,project support,11,a,Community_2002_Seed Award,Community_Seed Award_show,6202,,
FALSE,show,/projects/h/#homestead-muralmosaic-project,2002,Homestead Mural/Mosaic Project,Homestead Mural/Mosaic Project,homestead-muralmosaic-project,"$3,000 » Ian Green Studios, 2002 Seed Award project support",0138-SEED,Ian Green Studios,"Homestead Mural/Mosaic Project, a project of Ian Green Studios, was created by painter Ian Green. THe project celebrated Steel Valley heritage and created public art, including several large oil paintings, all depicting scenes from the Homestead community, that were installed in the neighborhood.",,"paintings, painters, mosaics, art, homestead, scenes, heritage, steel","$3,000",3000,10/3/2002,1,,,Community,Seed Award,project support,11,h,Community_2002_Seed Award,Community_Seed Award_show,6201,,
FALSE,show,/projects/m/#midnight-series,2002,Midnight Series,Midnight Series,midnight-series,"$8,000 » Attack Theatre, 2002 Seed Award project support",0149-SEED,Attack Theatre,"Midnight Series, a project of Attack Theatre, presented an interactive production that was at once humorous, eclectic, poignant, and focused. The performances fused multimedia, live music, and traditional dance forms.",,"dances, theatre, performances, midnight, forms","$8,000",8000,10/3/2002,1,,,Community,Seed Award,project support,11,m,Community_2002_Seed Award,Community_Seed Award_show,6203,,
TRUE,show,/projects/highlights/community/#100-bands-31-nights-1-city,2002,"100 Bands, 31 Nights, 1 City","100 Bands, 31 Nights, 1 City",100-bands-31-nights-1-city,"$10,000 » Club Café, 2002 Seed Award project support",0172-SEED,Club Café,"100 Bands, 31 Nights, 1 City, a project of Club Café, galvanized the local music scene by presenting 100 area bands during the 31 nights of January. The concert series highlighted the rich, diverse, but often underappreciated musical culture of Pittsburgh in one eclectic month.","Highlighting the rich, diverse, but often underappreciated musical culture of Pittsburgh in one eclectic month.","nights, café, cultures, month, concert series, music scene","$10,000",10000,11/7/2002,1,/photos/projects/100-bands-31-nights-1-city.jpg,,Community,Seed Award,project support,12,num,Community_2002_Seed Award,Community_Seed Award_show,6206,,Year AND Program Feature
TRUE,show,/projects/highlights/community/#busk-pittsburgh,2002,Busk Pittsburgh,Busk Pittsburgh,busk-pittsburgh,"$10,000, 2002 Seed Award project support",0157-SEED,,"Busk Pittsburgh was an eight-week educational program that introduced and encouraged the historic tradition of busking, or street performance, in downtown Pittsburgh. The program provided a venue for artists to perform downtown and informed the public about the artistry and industry particular to street performing.",Creating a venue for artists to perform downtown and inform the public about the artistry and industry particular to street performing.,"streets, venues, artistry, artists, performances, traditions, industry, busk","$10,000",10000,11/7/2002,1,/photos/projects/busk-pittsburgh.jpg,,Community,Seed Award,project support,12,b,Community_2002_Seed Award,Community_Seed Award_show,6204,,Year Feature
FALSE,show,/projects/t/#televised-distance,2002,Televised Distance,Televised Distance,televised-distance,"$3,500 » The Times Project, 2002 Seed Award project support",0165-SEED,The Times Project,"Televised Distance, a project of The Times Project, was an installation that utilized conference call and digital imaging technology to create a three-dimensional, holographic rendering of the sights and sounds captured live on a busy Pittsburgh street.",,"installations, imaging, sights, distance, technology, sounds, streets","$3,500",3500,11/7/2002,1,,,Community,Seed Award,project support,12,t,Community_2002_Seed Award,Community_Seed Award_show,6205,,
FALSE,show,/projects/a/#a-team-oakland,2002,A-Team Oakland,A-Team Oakland,a-team-oakland,"$5,150, 2002 Seed Award project support",0173-SEED,,"A-Team Oakland was composed of student volunteers who served as ambassadors and advisors in the Oakland area. By dispensing brochures, maps, and enthusiasm, these students ensured that those who came to Oakland left with the most positive sense of the neighborhood, and of the city.",,"advisors, ambassadors, enthusiasm, volunteers, brochures, neighborhoods, senses, maps, student","$5,150",5150,12/4/2002,1,,,Community,Seed Award,project support,13,a,Community_2002_Seed Award,Community_Seed Award_show,6207,,
TRUE,show,/projects/highlights/community/#pittsburgh-singles-volunteer-network,2002,Pittsburgh Singles Volunteer Network,Pittsburgh Singles Volunteer Network,pittsburgh-singles-volunteer-network,"$4,850, 2002 Seed Award project support",0183-SEED,,"The Pittsburgh Singles Volunteer Network referred singles to volunteer opportunities with local charitable groups. The organization cultivated commitment to volunteering, fostered relationships among singles, and increased the number of activities available to them.","Cultivating commitment to volunteering, fostering relationships among singles, and increasing the number of activities available to them.","volunteers, commitments, activities, relationships, organizations, network, singles","$4,850",4850,12/4/2002,1,/photos/projects/pittsburgh-singles-volunteer-network.jpg,,Community,Seed Award,project support,13,p,Community_2002_Seed Award,Community_Seed Award_show,6208,,Year Feature
TRUE,show,/projects/highlights/community/#support-mass-transit-bumper-stickers,2003,Support Mass Transit Bumper Stickers,Support Mass Transit Bumper Stickers,support-mass-transit-bumper-stickers,"$1,000 » Kate Trimble, 2003 Grand Ideas project support",0295-SEED,Kate Trimble,Support Mass Transit Bumper Stickers responded to the reduced funding to Port Authority and its first service cuts. The project distributed thousands of Support Mass Transit Bumper Stickers to call attention to the essential services provided by Port Authority and the threats to its sustainability.,Calling attention to the essential service provided by Port Authority Transit and the threats to its sustainability.,"transit, sustainability, stickers, funding, bumper, mass, threats, cuts","$1,000",1000,6/4/2003,1,/photos/projects/support-mass-transit-bumper-stickers.jpg,,Community,Grand Ideas,project support,18,s,Community_2003_Grand Ideas,Community_Grand Ideas_show,6222,,Year AND Program Feature
FALSE,show,/projects/h/#homewood-community-garden-classes,2003,Homewood Community Garden Classes,Homewood Community Garden Classes,homewood-community-garden-classes,"$625, 2003 Grand Ideas project support",0300-SEED,,Homewood Community Garden Classes offered free classes on sustainable gardening to initiate the first step in advocating for community gardens throughout the city.,,"gardens, gardening, steps, homewood",$625,625,7/23/2003,1,,,Community,Grand Ideas,project support,19,h,Community_2003_Grand Ideas,Community_Grand Ideas_show,6225,,
FALSE,show,/projects/b/#blackpittsburghcom,2003,BlackPittsburgh.com,BlackPittsburgh.com,blackpittsburghcom,"$10,000, 2003 Seed Award project support",0190-SEED,,"BlackPittsburgh.com was an online resource for the African American community. Compiling information on black-owned businesses, events, happenings, and news, the website was both a database and a virtual community center.",,"online, com, websites, resources, news, businesses, happenings, community center","$10,000",10000,2/5/2003,1,,,Community,Seed Award,project support,14,b,Community_2003_Seed Award,Community_Seed Award_show,6209,,
FALSE,show,/projects/d/#diatribe-magazine,2003,Diatribe Magazine,Diatribe Magazine,diatribe-magazine,"$10,000, 2003 Seed Award project support",0206-SEED,,"Diatribe Magazine communicated views often missing in mainstream media. The publication addressed community and regional issues not only from a young person’s perspective, but from all sides, and provided an alternative media outlet that gave voice to the underrepresented.",,"mainstream, perspectives, magazines, media, views, issues, alternatives, outlets, person","$10,000",10000,2/5/2003,1,,,Community,Seed Award,project support,14,d,Community_2003_Seed Award,Community_Seed Award_show,6210,,
